SCHLAGWORT;UEBERSETZUNG
#B1118#im Gebäude#Nachschau;Brand im Gebäude - Nachschau
#B1119#im Gebäude#Rauchentwicklung;Brand im Gebäude - Rauchentwicklung
#B1120#im Gebäude#Rauchentwicklung (Person in Gefahr);Brand im Gebäude - Rauchentwicklung (Person in Gefahr)
#B1121#im Gebäude#Tiefgarage;Brand im Gebäude - Tiefgarage
#B1122#im Gebäude#überhitzter Ofen / Ölofen;Brand im Gebäude - überhitzter Ofen / Ölofen
#B1123#im Gebäude#Zimmer;Brand im Gebäude - Zimmer
#B1124#im Gebäude#Zimmer (Person in Gefahr);Brand im Gebäude - Zimmer (Person in Gefahr)
#B1125#im Gebäude#Berghütte;Brand im Gebäude - Berghütte
#B1126#im Gebäude#Garage (Person in Gefahr);Brand im Gebäude - Garage (Person in Gefahr)
#B1127#im Gebäude#ausgedehnt / hoch bis 6.OG;Brand im Gebäude - ausgedehnt / hoch bis 6.OG
#B1210#Gebäude hohe Personenzahl#Pflege- / Altenheim;Brand Gebäude hohe Personenzahl - Pflege- / Altenheim
#B1211#Gebäude hohe Personenzahl#Hochhaus ab 7. OG;Brand Gebäude hohe Personenzahl - Hochhaus ab 7. OG
#B1212#Gebäude hohe Personenzahl#Hotel;Brand Gebäude hohe Personenzahl - Hotel
#B1213#Gebäude hohe Personenzahl#Kaufhaus;Brand Gebäude hohe Personenzahl - Kaufhaus
#B1214#Gebäude hohe Personenzahl#Supermarkt;Brand Gebäude hohe Personenzahl - Supermarkt
#B1215#Gebäude hohe Personenzahl#Kindergarten;Brand Gebäude hohe Personenzahl - Kindergarten
#B1216#Gebäude hohe Personenzahl#Kino;Brand Gebäude hohe Personenzahl - Kino
#B1217#Gebäude hohe Personenzahl#Kirche;Brand Gebäude hohe Personenzahl - Kirche
#B1218#Gebäude hohe Personenzahl#Krankenhaus;Brand Gebäude hohe Personenzahl - Krankenhaus
#B1219#Gebäude hohe Personenzahl#Schule;Brand Gebäude hohe Personenzahl - Schule
#B1220#Gebäude hohe Personenzahl#Theater;Brand Gebäude hohe Personenzahl - Theater
#B1221#Gebäude hohe Personenzahl#Zirkus;Brand Gebäude hohe Personenzahl - Zirkus
#B1222#Alarmstufenerhöhung#auf B5;Brand Alarmstufenerhöhung - auf B5
#B1233#Gebäude hohe Personenzahl#Wohnheim;Brand Gebäude hohe Personenzahl - Wohnheim
#B1234#Gebäude hohe Personenzahl#Behinderteneinrichtung;Brand Gebäude hohe Personenzahl - Behinderteneinrichtung
